x1	y1	x2	y2	label	confidence
195	120	264	189	1	0.999934
282	130	372	220	2	0.998933
754	234	840	320	2	0.999982
561	162	677	278	2	0.746811
427	178	521	272	3	0.985840
350	373	432	455	5	0.921227
622	360	706	444	7	0.998761
920	350	1021	451	3	0.993079
745	469	858	582	3	0.835998
607	466	714	573	3	0.999448
840	584	950	694	3	0.965352
606	601	699	694	5	0.999923
308	718	375	785	7	0.999925
744	760	831	847	2	0.754017
607	730	687	810	5	0.750848
235	823	331	919	8	0.998318
607	880	693	966	6	0.601667
836	879	945	988	6	0.647092
598	992	695	1089	0	0.953480
943	990	1050	1097	6	0.937297
275	1064	382	1171	0	0.632441
